id,Review,Language,English_Translation
1,"This product is absolutely wonderful, I love it!",English,"This product is absolutely wonderful, I love it!"
2,"Ce produit est absolument merveilleux, je l'adore !",French,"This product is absolutely wonderful, I love it!"
3,"Dieses Produkt ist absolut wunderbar, ich liebe es!",German,"This product is absolutely wonderful, I love it!"
4,"Este producto es absolutamente maravilloso, ¡me encanta!",Spanish,"This product is absolutely wonderful, I love it!"
5,"Questo prodotto è assolutamente meraviglioso, lo adoro!",Italian,"This product is absolutely wonderful, I love it!"
6,"Dit product is absoluut geweldig, ik ben er dol op!",Dutch,"This product is absolutely wonderful, I love it!"
7,"Terrible quality, broke after one day.",English,"Terrible quality, broke after one day."
8,"Qualité terrible, cassé après un jour.",French,"Terrible quality, broke after one day."
9,"Schreckliche Qualität, nach einem Tag kaputt.",German,"Terrible quality, broke after one day."
10,"Calidad terrible, se rompió después de un día.",Spanish,"Terrible quality, broke after one day."
11,"Qualità terribile, si è rotto dopo un giorno.",Italian,"Terrible quality, broke after one day."
12,"Verschrikkelijke kwaliteit, ging na één dag kapot.",Dutch,"Terrible quality, broke after one day."
13,"Le service client a été très utile et rapide.",French,"Customer service was very helpful and fast."
14,"Der Kundenservice war sehr hilfreich und schnell.",German,"Customer service was very helpful and fast."
15,"El servicio al cliente fue muy útil y rápido.",Spanish,"Customer service was very helpful and fast."
16,"Il servizio clienti è stato molto utile e veloce.",Italian,"Customer service was very helpful and fast."
17,"De klantenservice was erg behulpzaam en snel.",Dutch,"Customer service was very helpful and fast."
18,"Customer service was very helpful and fast.",English,"Customer service was very helpful and fast."
19,"Je ne recommande pas ce produit, il est de mauvaise qualité.",French,"I do not recommend this product, it is poor quality."
20,"Ich empfehle dieses Produkt nicht, es hat schlechte Qualität.",German,"I do not recommend this product, it is poor quality."
21,"No recomiendo este producto, es de mala calidad.",Spanish,"I do not recommend this product, it is poor quality."
22,"Non consiglio questo prodotto, è di scarsa qualità.",Italian,"I do not recommend this product, it is poor quality."
23,"Ik raad dit product niet aan, het is van slechte kwaliteit.",Dutch,"I do not recommend this product, it is poor quality."
24,"I do not recommend this product, it is poor quality.",English,"I do not recommend this product, it is poor quality."
25,"C'est correct pour le prix, rien d'exceptionnel.",French,"It's okay for the price, nothing special."
26,"Es ist in Ordnung für den Preis, nichts Besonderes.",German,"It's okay for the price, nothing special."
27,"Está bien por el precio, nada especial.",Spanish,"It's okay for the price, nothing special."
28,"Va bene per il prezzo, niente di speciale.",Italian,"It's okay for the price, nothing special."
29,"Het is oké voor de prijs, niets bijzonders.",Dutch,"It's okay for the price, nothing special."
30,"It's okay for the price, nothing special.",English,"It's okay for the price, nothing special."
31,"La livraison était rapide et l'emballage soigné. Très satisfait !",French,"Delivery was fast and packaging was neat. Very satisfied!"
32,"Die Lieferung war schnell und die Verpackung ordentlich. Sehr zufrieden!",German,"Delivery was fast and packaging was neat. Very satisfied!"
33,"La entrega fue rápida y el embalaje cuidadoso. ¡Muy satisfecho!",Spanish,"Delivery was fast and packaging was neat. Very satisfied!"
34,"La consegna è stata veloce e l'imballaggio curato. Molto soddisfatto!",Italian,"Delivery was fast and packaging was neat. Very satisfied!"
35,"De levering was snel en de verpakking netjes. Zeer tevreden!",Dutch,"Delivery was fast and packaging was neat. Very satisfied!"
36,"Delivery was fast and packaging was neat. Very satisfied!",English,"Delivery was fast and packaging was neat. Very satisfied!"
37,"Produit défectueux, impossible de le retourner. Service après-vente inexistant.",French,"Defective product, impossible to return. After-sales service non-existent."
38,"Defektes Produkt, Rückgabe unmöglich. Kundendienst nicht vorhanden.",German,"Defective product, impossible to return. After-sales service non-existent."
39,"Producto defectuoso, imposible devolverlo. Servicio postventa inexistente.",Spanish,"Defective product, impossible to return. After-sales service non-existent."
40,"Prodotto difettoso, impossibile restituirlo. Assistenza post-vendita inesistente.",Italian,"Defective product, impossible to return. After-sales service non-existent."
